totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
4.360108,0.1696701,21.6075,anatomy-tutor-fast,526.0,50.0,2026-06-26 13:00:14
4.539754,0.1601517,23.16604,anatomy-tutor-fast,619.0,61.0,2026-06-26 13:00:19
5.722149,0.1593446,22.60619,anatomy-tutor-fast,549.0,93.0,2026-06-26 13:00:25
2.965539,0.1596025,24.55867,anatomy-tutor-fast,526.0,37.0,2026-06-26 13:00:28
1.348019,0.1700707,28.53813,anatomy-tutor-fast,465.0,6.0,2026-06-26 13:00:29
1.414714,0.1569843,31.85728,anatomy-tutor-fast,503.0,4.0,2026-06-26 13:00:31
7.367267,0.1601132,24.12889,anatomy-tutor-fast,573.0,141.0,2026-06-26 13:00:39
1.421173,0.1549038,31.73545,anatomy-tutor-fast,485.0,4.0,2026-06-26 13:00:40
2.663235,0.16438,19.73971,anatomy-tutor-fast,507.0,27.0,2026-06-26 13:00:43
