totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
0.6222007,0.1650531,222.6756,anatomy-tutor-fast,708.0,80.0,2026-06-30 10:25:50
0.5684766,0.1645369,210.1793,anatomy-tutor-fast,717.0,76.0,2026-06-30 10:25:51
0.6883057,0.165911,211.5663,anatomy-tutor-fast,584.0,103.0,2026-06-30 10:25:52
0.568282,0.1689034,199.0168,anatomy-tutor-fast,524.0,74.0,2026-06-30 10:25:53
0.7942279,0.1680254,206.8975,anatomy-tutor-fast,553.0,122.0,2026-06-30 10:25:54
0.9981192,0.1696823,201.3402,anatomy-tutor-fast,817.0,156.0,2026-06-30 10:25:55
0.7351243,0.16854,188.4395,anatomy-tutor-fast,670.0,97.0,2026-06-30 10:25:56
