totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
3.518324,2.860622,180.7794,anatomy-tutor-fast,652.0,101.0,2026-06-30 10:14:59
0.639315,0.1935825,205.0546,anatomy-tutor-fast,646.0,80.0,2026-06-30 10:14:59
0.6492575,0.208972,206.5773,anatomy-tutor-fast,624.0,81.0,2026-06-30 10:15:00
0.7171795,0.1964986,190.882,anatomy-tutor-fast,446.0,93.0,2026-06-30 10:15:01
0.6044926,0.1778325,211.812,anatomy-tutor-fast,590.0,83.0,2026-06-30 10:15:02
0.6092954,0.1700448,181.5157,anatomy-tutor-fast,496.0,73.0,2026-06-30 10:15:03
0.7046188,0.1747291,175.9562,anatomy-tutor-fast,620.0,86.0,2026-06-30 10:15:04
0.6763723,0.1647549,151.7908,anatomy-tutor-fast,605.0,69.0,2026-06-30 10:15:05
