totalRequestTime,loadSeconds,evalTokensPerSecond,modelName,promptTokenCount,outputTokenCount,timestamp
2.950073,0.1716997,25.10446,anatomy-tutor-fast,526.0,65.0,2026-06-26 13:17:46
9.643589,0.0286484,6.650762,anatomy-tutor,607.0,47.0,2026-06-26 13:17:56
15.93696,0.0302772,6.583659,ncatmedllama,586.0,83.0,2026-06-26 13:18:12
7.467274,3.398135,97.54222,meditron,470.0,381.0,2026-06-26 13:18:20
9.677052,0.0284498,6.742373,medllama2,404.0,47.0,2026-06-26 13:18:30
6.607969,4.835887,15.58344,llama3.2,353.0,3.0,2026-06-26 13:18:36
0.353705,0.1610695,49.04124,llama3.2:1b,353.0,2.0,2026-06-26 13:18:37
3.429206,3.283574,122.7295,qwen2.5:3b,368.0,2.0,2026-06-26 13:18:41
